accuracy_source_val,accuracy_target_val,accuracy_source_mmd,accuracy_target_mmd,accuracy_source_ce,accuracy_target_ce
46.875,50.297619047619044,58.779761904761905,50.111607142857146,56.5530303030303,51.06060606060606
61.75595238095239,52.455357142857146,62.53720238095239,51.30208333333333,70.83333333333334,51.95075757575757
75.63244047619048,51.52529761904761,68.60119047619047,51.15327380952381,74.16666666666666,52.12121212121212
82.21726190476191,53.05059523809524,76.78571428571429,52.71577380952381,78.7689393939394,53.219696969696976
95.46130952380952,56.65922619047619,78.05059523809523,52.157738095238095,67.63257575757575,51.43939393939394
68.48958333333333,49.888392857142854,76.30208333333334,52.455357142857146,69.81060606060606,54.20454545454545
78.31101190476191,52.08333333333333,74.29315476190477,52.976190476190474,80.03787878787878,54.62121212121212
89.43452380952381,56.026785714285715,75.18601190476191,56.473214285714285,81.32575757575758,56.07954545454545
90.77380952380952,56.65922619047619,78.34821428571429,50.85565476190476,88.01136363636364,58.56060606060606
96.31696428571429,61.68154761904761,79.79910714285714,55.580357142857146,80.71969696969697,53.25757575757576
88.24404761904762,52.827380952380956,78.68303571428571,52.67857142857143,85.41666666666667,56.19318181818182
88.65327380952381,56.398809523809526,82.55208333333334,55.357142857142854,79.88636363636364,53.35227272727273
88.91369047619048,56.17559523809524,84.375,55.54315476190476,86.81818181818181,58.333333333333336
95.72172619047619,61.421130952380956,83.07291666666666,54.464285714285715,87.00757575757576,57.55681818181818
98.4375,61.19791666666667,82.70089285714286,53.64583333333333,87.1590909090909,57.234848484848484
96.42857142857143,61.01190476190476,81.77083333333334,55.84077380952381,85.83333333333333,55.833333333333336
92.67113095238095,58.482142857142854,86.60714285714286,57.254464285714285,86.25,56.81818181818182
98.54910714285714,63.169642857142854,85.52827380952381,57.10565476190476,85.83333333333333,58.37121212121212
97.87946428571429,61.01190476190476,86.79315476190477,57.36607142857143,88.03030303030303,59.09090909090909
92.41071428571429,63.430059523809526,87.57440476190477,56.882440476190474,88.48484848484848,57.8219696969697
97.65625,63.839285714285715,85.63988095238095,57.589285714285715,85.77651515151514,58.18181818181818
97.20982142857143,62.016369047619044,89.32291666666666,59.00297619047619,88.21969696969697,60.37878787878788
98.10267857142857,64.02529761904762,88.02083333333334,59.561011904761905,90.13257575757576,61.609848484848484
95.94494047619048,64.0625,89.36011904761905,59.04017857142857,89.9810606060606,61.25
95.90773809523809,64.50892857142857,84.04017857142857,57.06845238095239,85.22727272727273,57.8219696969697
96.42857142857143,62.351190476190474,89.43452380952381,60.453869047619044,85.79545454545455,59.31818181818182
97.47023809523809,62.276785714285715,90.69940476190477,61.75595238095239,88.93939393939395,60.416666666666664
97.76785714285714,62.87202380952381,85.60267857142857,57.44047619047619,91.36363636363636,61.07954545454545
96.01934523809523,62.611607142857146,85.71428571428571,60.19345238095239,87.5189393939394,60.75757575757576
97.54464285714286,63.392857142857146,88.72767857142857,61.569940476190474,89.0909090909091,59.98106060606061
97.09821428571429,64.39732142857143,90.40178571428571,58.891369047619044,91.62878787878788,63.35227272727273
97.35863095238095,65.69940476190476,90.17857142857143,62.723214285714285,88.23863636363636,62.99242424242424
94.34523809523809,65.06696428571429,90.32738095238095,60.825892857142854,89.92424242424242,62.10227272727273
97.20982142857143,64.13690476190476,85.19345238095238,59.30059523809524,88.86363636363636,61.458333333333336
98.32589285714286,65.32738095238095,87.12797619047619,61.160714285714285,89.0340909090909,61.43939393939394
97.80505952380952,65.25297619047619,90.625,60.9375,89.92424242424242,64.3371212121212
96.35416666666666,65.06696428571429,87.46279761904762,61.607142857142854,90.53030303030303,61.64772727272727
98.21428571428571,65.40178571428571,90.32738095238095,61.830357142857146,93.39015151515152,63.76893939393939
97.80505952380952,65.32738095238095,92.44791666666666,62.797619047619044,93.35227272727273,65.3030303030303
98.54910714285714,66.18303571428571,88.76488095238095,62.648809523809526,88.50378787878788,63.71212121212121
97.20982142857143,64.91815476190476,89.13690476190477,60.49107142857143,91.96969696969697,64.52651515151516
95.08928571428571,64.84375,88.28125,61.421130952380956,90.07575757575758,63.67424242424243
90.81101190476191,63.65327380952381,88.54166666666666,62.5,89.86742424242424,63.14393939393939
98.36309523809523,66.70386904761905,89.80654761904762,61.71875,92.59469696969697,65.01893939393939
97.99107142857143,65.84821428571429,90.55059523809523,63.467261904761905,93.29545454545455,65.9280303030303
98.54910714285714,66.10863095238095,93.11755952380952,63.54166666666667,94.54545454545455,65.9090909090909
98.4375,66.77827380952381,96.35416666666666,63.392857142857146,94.18560606060605,64.82954545454545
98.47470238095238,65.66220238095238,92.44791666666666,64.62053571428571,92.00757575757576,64.6780303030303
98.13988095238095,65.66220238095238,92.03869047619048,62.648809523809526,95.0,66.23106060606061
97.65625,66.25744047619047,94.08482142857143,64.47172619047619,93.125,64.54545454545455
97.69345238095238,65.40178571428571,92.67113095238095,64.54613095238095,94.86742424242424,65.64393939393939
98.25148809523809,65.73660714285714,89.47172619047619,61.27232142857143,91.78030303030303,63.92045454545455
97.43303571428571,65.84821428571429,89.62053571428571,64.2485119047619,91.07954545454545,63.82575757575757
97.43303571428571,65.47619047619047,91.36904761904762,62.87202380952381,94.3560606060606,64.52651515151516
98.4375,64.88095238095238,94.12202380952381,62.57440476190476,92.19696969696969,65.17045454545455
96.76339285714286,66.10863095238095,93.93601190476191,63.98809523809524,94.50757575757576,65.77651515151516
98.54910714285714,65.73660714285714,94.30803571428571,62.87202380952381,94.60227272727273,64.90530303030303
98.88392857142857,65.21577380952381,93.45238095238095,63.950892857142854,95.32196969696969,64.26136363636364
