accuracy_source_val,accuracy_target_val,accuracy_source_mmd,accuracy_target_mmd,accuracy_source_ce,accuracy_target_ce
49.960839598997495,50.25845864661654,49.71804511278196,49.46741854636592,50.13827433628319,49.57727560050569
50.775375939849624,48.88784461152882,50.94768170426065,51.95802005012531,51.39064475347661,49.07158659924146
49.31860902255639,50.595238095238095,49.13063909774436,52.70206766917293,49.075537294563844,50.57285082174463
49.569235588972425,50.45426065162908,49.45958646616541,51.55075187969925,50.13432364096081,49.75900758533502
49.960839598997495,50.84586466165413,49.85119047619048,51.55075187969925,49.751106194690266,49.64048672566372
49.960839598997495,49.866854636591476,50.04699248120301,51.159147869674186,49.265170670037925,49.29282553729456
49.17763157894737,50.06265664160401,49.45958646616541,51.55075187969925,49.624683944374205,49.62073324905183
50.92418546365915,50.321115288220554,48.50407268170426,49.71021303258145,49.356036662452595,49.782711757269276
49.569235588972425,50.25845864661654,49.65538847117794,51.55075187969925,50.560998735777495,49.0992414664981
50.039160401002505,49.54573934837092,49.75720551378446,48.64505012531329,50.12247155499367,49.87357774968394
50.75971177944862,49.98433583959899,49.60056390977443,52.13032581453634,51.38274336283186,50.110619469026545
49.84335839598997,49.54573934837092,50.54041353383459,48.840852130325814,49.16640328697851,48.783185840707965
49.71804511278196,50.12531328320802,49.84335839598997,48.94266917293233,49.600979772439956,51.43805309734513
49.960839598997495,50.45426065162908,49.65538847117794,51.55075187969925,49.786662452591656,49.10319216182048
49.76503759398496,50.06265664160401,49.45958646616541,51.159147869674186,49.0834386852086,48.763432364096076
50.15664160401003,50.84586466165413,49.65538847117794,51.55075187969925,50.237041719342606,51.058786346396964
49.76503759398496,50.65006265664161,49.85119047619048,51.55075187969925,48.61725663716814,49.22171302149178
49.960839598997495,50.06265664160401,48.48057644110276,51.8562030075188,48.27354614412137,50.96396965865993
49.3734335839599,49.866854636591476,48.42575187969925,50.501253132832076,48.854298356510746,49.44295195954488
50.23496240601504,49.54573934837092,50.12531328320802,48.58239348370927,51.27212389380531,49.996049304677626
50.23496240601504,49.15413533834587,50.45426065162908,50.97901002506266,50.13827433628319,50.29630214917826
50.65006265664161,49.74154135338346,50.430764411027575,49.9921679197995,50.78223767383059,49.51406447534766
49.960839598997495,50.65006265664161,49.65538847117794,51.55075187969925,51.16150442477876,49.30862831858407
50.430764411027575,50.328947368421055,50.34461152882206,48.64505012531329,50.17383059418457,50.857300884955755
49.569235588972425,50.25845864661654,49.85119047619048,51.94235588972431,49.8814791403287,50.316055625790135
49.569235588972425,50.65006265664161,50.04699248120301,51.35494987468671,50.15802781289507,49.29677623261694
49.3734335839599,50.84586466165413,50.04699248120301,51.159147869674186,50.2212389380531,50.458280657395704
49.64755639097744,49.74154135338346,49.95300751879699,48.64505012531329,50.375316055625795,49.42714917825537
50.15664160401003,50.25845864661654,50.04699248120301,51.159147869674186,49.36393805309734,50.09481668773704
49.76503759398496,50.06265664160401,49.45958646616541,51.55075187969925,50.09086599241466,49.77481036662453
49.960839598997495,50.25845864661654,48.78602756892231,50.04699248120301,51.67509481668774,49.41134639696587
50.039160401002505,49.54573934837092,50.34461152882206,48.44924812030075,50.47013274336283,48.901706700379265
49.84335839598997,49.93734335839599,50.54041353383459,48.840852130325814,49.818268015170666,49.66814159292036
50.23496240601504,49.74154135338346,49.95300751879699,48.6998746867168,49.75900758533502,48.62120733249052
50.039160401002505,49.34993734335839,50.54041353383459,48.64505012531329,49.37974083438686,50.64791403286978
50.15664160401003,50.06265664160401,49.85119047619048,51.55075187969925,50.74273072060683,48.80293931731985
50.23496240601504,49.74154135338346,48.50407268170426,48.61372180451127,49.34023388116309,49.44690265486726
50.23496240601504,50.133145363408524,51.35494987468671,49.98433583959899,48.61725663716814,49.41924778761062
50.15664160401003,50.65006265664161,50.04699248120301,51.35494987468671,49.08738938053097,49.80641592920354
50.6265664160401,49.54573934837092,49.43609022556391,49.208959899749374,49.98814791403287,50.76643489254109
49.569235588972425,50.25845864661654,49.65538847117794,51.35494987468671,49.21776232616941,49.70369785082174
50.23496240601504,49.93734335839599,50.54041353383459,48.25344611528822,49.84197218710493,50.237041719342606
50.26629072681705,50.14880952380952,49.85119047619048,47.29793233082707,50.43062579013907,51.23261694058154
49.569235588972425,50.84586466165413,49.9921679197995,49.27944862155389,50.62025916561314,49.94469026548673
49.76503759398496,50.25845864661654,47.04730576441103,51.2922932330827,49.05183312262959,49.15850189633376
50.430764411027575,49.74154135338346,49.16196741854636,50.070488721804516,50.48988621997472,48.854298356510746
49.84335839598997,49.74154135338346,50.14880952380952,48.64505012531329,49.9328381795196,49.557522123893804
49.960839598997495,50.06265664160401,48.64505012531329,50.45426065162908,49.23751580278129,50.54914664981037
50.35244360902256,50.06265664160401,49.85119047619048,51.35494987468671,49.52986725663717,49.89333122629583
49.84335839598997,49.74154135338346,49.27161654135338,51.895363408521305,51.24446902654867,49.280973451327434
