accuracy_source_val,accuracy_target_val,accuracy_source_mmd,accuracy_target_mmd,accuracy_source_ce,accuracy_target_ce
50.59237637362638,46.411401098901095,55.606112637362635,46.067994505494504,59.39393939393939,50.122053872053876
63.865041208791204,53.932005494505496,59.07451923076923,47.184065934065934,61.75925925925926,48.52062289562289
64.69780219780219,54.5415521978022,55.82932692307692,49.802541208791204,60.48400673400673,49.330808080808076
65.02403846153847,54.42994505494505,57.39182692307692,48.62637362637362,54.86321548821549,50.64814814814815
61.229395604395606,53.81181318681319,59.56387362637362,52.1978021978022,65.15361952861953,50.776515151515156
68.27781593406594,53.871909340659336,62.302541208791204,50.24038461538462,62.8030303030303,47.7756734006734
66.53502747252747,45.621565934065934,63.53880494505495,47.91380494505495,64.73484848484848,47.920875420875426
66.37190934065934,55.20260989010989,65.41037087912088,46.45432692307692,62.622053872053876,47.4452861952862
73.1713598901099,54.25824175824176,63.53021978021978,45.49278846153846,63.573232323232325,49.04250841750842
67.96875,54.75618131868132,61.401098901098905,50.025755494505496,61.38257575757576,52.291666666666664
63.40144230769231,55.37431318681319,62.809065934065934,49.69951923076923,64.75589225589225,49.13510101010101
65.19574175824177,53.42548076923077,65.97699175824177,47.458791208791204,67.0959595959596,47.910353535353536
71.15384615384616,46.565934065934066,62.68887362637362,48.240041208791204,62.725168350168346,47.46001683501684
64.91243131868131,54.86778846153846,51.99175824175824,49.20157967032967,60.26725589225589,50.044191919191924
61.17788461538462,51.854395604395606,55.03949175824176,50.86710164835165,50.74074074074074,49.09301346801347
50.583791208791204,53.262362637362635,49.802541208791204,50.24896978021978,49.92424242424243,48.73737373737374
48.91826923076923,53.42548076923077,48.746565934065934,52.034684065934066,51.138468013468014,51.23737373737374
49.244505494505496,53.262362637362635,50.79842032967033,48.53193681318681,50.25042087542088,50.45244107744107
48.91826923076923,53.588598901098905,48.91826923076923,52.026098901098905,47.377946127946124,48.48905723905724
49.244505494505496,52.93612637362638,48.643543956043956,47.73351648351648,48.158670033670035,48.58796296296296
48.91826923076923,53.42548076923077,50.86710164835165,50.9271978021978,49.14562289562289,50.87542087542088
49.244505494505496,53.42548076923077,48.96978021978022,47.244162087912095,50.17255892255893,51.63510101010101
51.08173076923077,46.57451923076923,50.54086538461538,52.10336538461538,50.90698653198653,51.60353535353535
51.40796703296703,46.737637362637365,51.193337912087905,51.940247252747255,51.706649831649834,50.090488215488215
49.244505494505496,53.262362637362635,48.96978021978022,47.73351648351648,49.63173400673401,51.504629629629626
49.89697802197802,52.93612637362638,48.96978021978022,47.40728021978022,49.82744107744107,52.00126262626262
49.40762362637362,53.262362637362635,49.8540521978022,51.699862637362635,49.579124579124574,48.67424242424243
49.081387362637365,53.42548076923077,48.643543956043956,47.57039835164835,47.90614478114478,48.61321548821549
48.91826923076923,53.262362637362635,49.29601648351648,46.917925824175825,50.467171717171716,49.97685185185185
49.57074175824176,53.262362637362635,49.13289835164835,47.244162087912095,48.51010101010101,51.428872053872055
50.59237637362638,46.737637362637365,50.86710164835165,52.42960164835165,48.75210437710438,50.90698653198653
49.40762362637362,53.588598901098905,48.96978021978022,46.917925824175825,48.918350168350166,50.75126262626262
49.244505494505496,53.588598901098905,49.13289835164835,47.081043956043956,49.14562289562289,47.910353535353536
49.081387362637365,53.588598901098905,48.806662087912095,47.73351648351648,49.6969696969697,50.147306397306394
51.08173076923077,46.57451923076923,50.70398351648352,52.26648351648352,48.339646464646464,51.58880471380471
49.57074175824176,52.93612637362638,48.96978021978022,47.40728021978022,49.23821548821549,48.52062289562289
49.73385989010989,53.262362637362635,49.13289835164835,47.73351648351648,49.72853535353535,50.591329966329965
50.918612637362635,47.06387362637362,50.70398351648352,51.940247252747255,48.571127946127945,49.03198653198653
50.918612637362635,46.411401098901095,50.86710164835165,52.755837912087905,50.60185185185185,49.61489898989899
48.91826923076923,53.91483516483516,48.806662087912095,47.244162087912095,50.28619528619529,50.25042087542088
50.918612637362635,46.737637362637365,50.70398351648352,52.918956043956044,47.86405723905724,50.204124579124574
48.755151098901095,52.93612637362638,48.806662087912095,47.89663461538462,50.43560606060606,49.9452861952862
49.244505494505496,52.93612637362638,48.96978021978022,47.57039835164835,49.03198653198653,48.158670033670035
49.244505494505496,53.262362637362635,49.29601648351648,47.244162087912095,49.11405723905724,49.29503367003367
49.081387362637365,53.262362637362635,48.96978021978022,47.244162087912095,51.82659932659933,50.21043771043771
50.918612637362635,46.24828296703297,50.70398351648352,52.10336538461538,49.36658249158249,49.795875420875426
51.08173076923077,46.737637362637365,50.54086538461538,53.082074175824175,49.898989898989896,49.408670033670035
49.244505494505496,53.42548076923077,48.96978021978022,47.57039835164835,48.81523569023569,49.966329966329965
49.081387362637365,52.77300824175824,48.96978021978022,47.73351648351648,49.465488215488215,50.85437710437711
49.40762362637362,52.93612637362638,48.31730769230769,47.081043956043956,49.99789562289562,48.360690235690235
