accuracy_source_val,accuracy_target_val,accuracy_source_mmd,accuracy_target_mmd,accuracy_source_ce,accuracy_target_ce
49.081387362637365,53.588598901098905,63.62465659340659,47.441620879120876,73.11868686868686,46.706649831649834
73.1198489010989,49.021291208791204,77.69574175824175,45.956387362637365,77.31271043771044,49.99158249158249
79.0264423076923,54.5415521978022,78.58001373626374,47.57898351648352,79.72011784511785,48.56060606060606
79.74759615384616,54.369848901098905,84.94162087912089,45.355425824175825,82.60732323232322,47.49158249158249
81.7651098901099,52.369505494505496,84.21188186813187,47.02953296703297,84.67382154882155,48.648989898989896
83.9371565934066,52.369505494505496,88.4014423076923,46.24828296703297,85.81018518518519,47.50841750841751
85.4481456043956,53.597184065934066,85.84306318681318,46.62603021978022,86.55303030303031,47.466329966329965
85.9375,53.082074175824175,86.77884615384616,45.621565934065934,85.85648148148148,47.590488215488215
85.77438186813187,52.25789835164835,87.34546703296704,45.956387362637365,86.23316498316498,47.68308080808081
83.7139423076923,52.53262362637362,89.01098901098901,46.34271978021978,87.45791245791246,47.022306397306394
84.05734890109889,52.541208791208796,89.91243131868133,46.85782967032967,86.85395622895622,46.06691919191919
85.99759615384616,51.91449175824176,90.57348901098901,45.99931318681319,87.64941077441077,47.61574074074074
85.38804945054946,51.871565934065934,89.4059065934066,44.900412087912095,87.35479797979798,44.50126262626262
84.88152472527473,50.755494505494504,91.40625,45.896291208791204,88.31018518518519,47.14646464646465
85.33653846153847,51.26201923076923,91.91277472527473,43.518200549450555,87.44739057239057,46.86237373737374
86.8904532967033,52.755837912087905,90.68509615384616,44.28228021978022,87.003367003367,46.69191919191919
87.11366758241759,52.53262362637362,91.7496565934066,44.119162087912095,87.79882154882155,47.13594276094276
88.4529532967033,53.48557692307692,91.97287087912089,45.681662087912095,88.65109427609427,47.533670033670035
87.05357142857143,52.09478021978022,92.13598901098901,44.45398351648352,89.98947811447812,45.669191919191924
86.34100274725276,52.300824175824175,89.84375,45.175137362637365,87.57154882154882,44.04671717171717
83.94574175824175,50.36057692307692,90.81387362637362,46.231112637362635,88.84259259259258,46.706649831649834
86.72733516483517,52.317994505494504,89.74072802197803,46.231112637362635,87.86616161616162,46.94444444444444
87.50858516483517,53.19368131868132,91.74107142857143,45.05494505494505,88.40277777777777,44.26978114478115
89.4059065934066,50.71256868131868,92.96875,43.621222527472526,88.67213804713803,46.148989898989896
87.5,52.53262362637362,93.3121565934066,44.60851648351648,89.41077441077441,45.60185185185185
87.12225274725276,52.24931318681319,94.19642857142857,43.6040521978022,90.37668350168349,45.26094276094276
86.0576923076923,51.92307692307692,92.5309065934066,44.496909340659336,88.92466329966331,47.264309764309765
87.56009615384616,52.146291208791204,91.5264423076923,44.95192307692308,87.003367003367,46.3047138047138
85.43956043956044,51.82005494505495,92.13598901098901,43.40659340659341,88.51641414141413,45.64814814814815
87.90350274725276,51.75137362637362,93.97321428571429,44.127747252747255,89.51388888888889,46.16372053872054
