accuracy_source_val,accuracy_target_val,accuracy_source_mmd,accuracy_target_mmd,accuracy_source_ce,accuracy_target_ce
46.688988095238095,50.85565476190476,47.879464285714285,52.41815476190476,49.82954545454545,50.43560606060606
47.767857142857146,50.148809523809526,51.711309523809526,50.632440476190474,52.348484848484844,50.625
48.921130952380956,49.96279761904761,54.24107142857143,50.148809523809526,49.33712121212121,49.0719696969697
46.91220238095239,48.02827380952381,52.86458333333333,49.441964285714285,53.06818181818182,50.094696969696976
50.26041666666667,48.40029761904761,50.930059523809526,53.013392857142854,50.75757575757576,53.16287878787879
53.53422619047619,52.194940476190474,54.61309523809524,50.595238095238095,58.655303030303024,49.71590909090909
56.25,50.81845238095239,58.25892857142857,52.232142857142854,54.905303030303024,50.43560606060606
52.938988095238095,52.046130952380956,57.254464285714285,51.63690476190476,59.60227272727273,51.5530303030303
65.40178571428571,48.586309523809526,57.328869047619044,50.595238095238095,54.29924242424243,51.30681818181818
54.16666666666667,52.529761904761905,64.0625,51.674107142857146,61.25,52.916666666666664
56.919642857142854,51.785714285714285,57.998511904761905,54.129464285714285,56.515151515151516,53.57954545454545
61.34672619047619,53.683035714285715,60.23065476190476,51.82291666666667,60.359848484848484,54.82954545454545
60.267857142857146,53.236607142857146,65.40178571428571,53.05059523809524,68.10606060606061,52.21590909090909
68.63839285714286,55.357142857142854,71.13095238095238,54.985119047619044,79.07196969696969,59.905303030303024
80.54315476190477,59.00297619047619,71.42857142857143,57.254464285714285,81.11742424242424,60.0
82.44047619047619,57.589285714285715,74.51636904761905,59.44940476190476,75.6060606060606,58.63636363636363
79.53869047619048,53.19940476190476,79.83630952380952,59.151785714285715,87.00757575757576,58.390151515151516
86.64434523809523,55.766369047619044,84.18898809523809,59.82142857142857,83.01136363636364,60.70075757575757
83.70535714285714,58.14732142857143,84.82142857142857,60.52827380952381,87.53787878787878,60.75757575757576
89.99255952380952,59.598214285714285,81.65922619047619,59.077380952380956,87.00757575757576,62.57575757575757
89.84375,62.5,85.90029761904762,59.375,80.92803030303031,59.6780303030303
81.39880952380952,56.101190476190474,86.19791666666666,58.96577380952381,84.92424242424242,61.515151515151516
86.75595238095238,61.830357142857146,75.40922619047619,58.705357142857146,79.54545454545455,59.98106060606061
79.53869047619048,58.816964285714285,79.50148809523809,57.180059523809526,80.11363636363636,58.901515151515156
80.28273809523809,57.142857142857146,80.98958333333334,59.70982142857143,85.41666666666667,57.916666666666664
85.19345238095238,58.14732142857143,88.09523809523809,58.370535714285715,81.96969696969697,57.1780303030303
84.15178571428571,55.691964285714285,83.89136904761905,59.151785714285715,78.4090909090909,59.905303030303024
80.24553571428571,58.22172619047619,84.15178571428571,59.78422619047619,87.4810606060606,61.30681818181818
90.14136904761905,59.598214285714285,82.70089285714286,60.825892857142854,80.77651515151514,58.86363636363637
82.73809523809523,59.598214285714285,87.09077380952381,64.28571428571429,84.62121212121212,63.67424242424243
87.16517857142857,62.313988095238095,87.42559523809523,63.35565476190476,86.57196969696969,60.473484848484844
86.23511904761905,60.90029761904761,89.76934523809523,61.086309523809526,90.39772727272727,61.969696969696976
90.40178571428571,57.626488095238095,89.17410714285714,61.086309523809526,86.875,61.70454545454545
